starttime	seconds	ctime	dtime	ttime	wait
Tue Oct 29 16:51:50 2019	1572328310	1115	2132	3247	391
Tue Oct 29 16:51:50 2019	1572328310	1126	2142	3268	397
Tue Oct 29 16:51:50 2019	1572328310	1174	2209	3383	421
Tue Oct 29 16:51:50 2019	1572328310	1175	2368	3543	432
Tue Oct 29 16:51:50 2019	1572328310	1116	2500	3616	408
Tue Oct 29 16:51:50 2019	1572328310	1175	2574	3749	419
Tue Oct 29 16:51:50 2019	1572328310	1155	2855	4010	388
Tue Oct 29 16:51:50 2019	1572328310	1174	2896	4070	414
Tue Oct 29 16:51:50 2019	1572328310	1841	2533	4374	418
Tue Oct 29 16:51:50 2019	1572328310	1171	3585	4756	1112
